sort benchmark BATCHSIZE 10000 NUM_MULTI_BITS 3 complete after 82.93954s
Step,Records Sent,Indexed PRSS,Sequential PRSS
protocol/run-0/mc0/xor1,10000,0,0
protocol/run-0/mc0/xor2,20000,0,0
protocol/run-0/mc1/xor1,10000,0,0
protocol/run-0/mc1/xor2,20000,0,0
protocol/run-0/mc10/xor1,10000,0,0
protocol/run-0/mc10/xor2,20000,0,0
protocol/run-0/mc11/xor1,10000,0,0
protocol/run-0/mc11/xor2,20000,0,0
protocol/run-0/mc12/xor1,10000,0,0
protocol/run-0/mc12/xor2,20000,0,0
protocol/run-0/mc13/xor1,10000,0,0
protocol/run-0/mc13/xor2,20000,0,0
protocol/run-0/mc14/xor1,10000,0,0
protocol/run-0/mc14/xor2,20000,0,0
protocol/run-0/mc15/xor1,10000,0,0
protocol/run-0/mc15/xor2,20000,0,0
protocol/run-0/mc16/xor1,10000,0,0
protocol/run-0/mc16/xor2,20000,0,0
protocol/run-0/mc17/xor1,10000,0,0
protocol/run-0/mc17/xor2,20000,0,0
protocol/run-0/mc18/xor1,10000,0,0
protocol/run-0/mc18/xor2,20000,0,0
protocol/run-0/mc19/xor1,10000,0,0
protocol/run-0/mc19/xor2,20000,0,0
protocol/run-0/mc2/xor1,10000,0,0
protocol/run-0/mc2/xor2,20000,0,0
protocol/run-0/mc20/xor1,10000,0,0
protocol/run-0/mc20/xor2,20000,0,0
protocol/run-0/mc21/xor1,10000,0,0
protocol/run-0/mc21/xor2,20000,0,0
protocol/run-0/mc22/xor1,10000,0,0
protocol/run-0/mc22/xor2,20000,0,0
protocol/run-0/mc23/xor1,10000,0,0
protocol/run-0/mc23/xor2,20000,0,0
protocol/run-0/mc24/xor1,10000,0,0
protocol/run-0/mc24/xor2,20000,0,0
protocol/run-0/mc25/xor1,10000,0,0
protocol/run-0/mc25/xor2,20000,0,0
protocol/run-0/mc26/xor1,10000,0,0
protocol/run-0/mc26/xor2,20000,0,0
protocol/run-0/mc27/xor1,10000,0,0
protocol/run-0/mc27/xor2,20000,0,0
protocol/run-0/mc28/xor1,10000,0,0
protocol/run-0/mc28/xor2,20000,0,0
protocol/run-0/mc29/xor1,10000,0,0
protocol/run-0/mc29/xor2,20000,0,0
protocol/run-0/mc3/xor1,10000,0,0
protocol/run-0/mc3/xor2,20000,0,0
protocol/run-0/mc30/xor1,10000,0,0
protocol/run-0/mc30/xor2,20000,0,0
protocol/run-0/mc31/xor1,10000,0,0
protocol/run-0/mc31/xor2,20000,0,0
protocol/run-0/mc32/xor1,10000,0,0
protocol/run-0/mc32/xor2,20000,0,0
protocol/run-0/mc33/xor1,10000,0,0
protocol/run-0/mc33/xor2,20000,0,0
protocol/run-0/mc34/xor1,10000,0,0
protocol/run-0/mc34/xor2,20000,0,0
protocol/run-0/mc35/xor1,10000,0,0
protocol/run-0/mc35/xor2,20000,0,0
protocol/run-0/mc36/xor1,10000,0,0
protocol/run-0/mc36/xor2,20000,0,0
protocol/run-0/mc37/xor1,10000,0,0
protocol/run-0/mc37/xor2,20000,0,0
protocol/run-0/mc38/xor1,10000,0,0
protocol/run-0/mc38/xor2,20000,0,0
protocol/run-0/mc39/xor1,10000,0,0
protocol/run-0/mc39/xor2,20000,0,0
protocol/run-0/mc4/xor1,10000,0,0
protocol/run-0/mc4/xor2,20000,0,0
protocol/run-0/mc40/xor1,10000,0,0
protocol/run-0/mc40/xor2,20000,0,0
protocol/run-0/mc41/xor1,10000,0,0
protocol/run-0/mc41/xor2,20000,0,0
protocol/run-0/mc42/xor1,10000,0,0
protocol/run-0/mc42/xor2,20000,0,0
protocol/run-0/mc43/xor1,10000,0,0
protocol/run-0/mc43/xor2,20000,0,0
protocol/run-0/mc44/xor1,10000,0,0
protocol/run-0/mc44/xor2,20000,0,0
protocol/run-0/mc45/xor1,10000,0,0
protocol/run-0/mc45/xor2,20000,0,0
protocol/run-0/mc46/xor1,10000,0,0
protocol/run-0/mc46/xor2,20000,0,0
protocol/run-0/mc47/xor1,10000,0,0
protocol/run-0/mc47/xor2,20000,0,0
protocol/run-0/mc48/xor1,10000,0,0
protocol/run-0/mc48/xor2,20000,0,0
protocol/run-0/mc49/xor1,10000,0,0
protocol/run-0/mc49/xor2,20000,0,0
protocol/run-0/mc5/xor1,10000,0,0
protocol/run-0/mc5/xor2,20000,0,0
protocol/run-0/mc50/xor1,10000,0,0
protocol/run-0/mc50/xor2,20000,0,0
protocol/run-0/mc51/xor1,10000,0,0
protocol/run-0/mc51/xor2,20000,0,0
protocol/run-0/mc52/xor1,10000,0,0
protocol/run-0/mc52/xor2,20000,0,0
protocol/run-0/mc53/xor1,10000,0,0
protocol/run-0/mc53/xor2,20000,0,0
protocol/run-0/mc54/xor1,10000,0,0
protocol/run-0/mc54/xor2,20000,0,0
protocol/run-0/mc55/xor1,10000,0,0
protocol/run-0/mc55/xor2,20000,0,0
protocol/run-0/mc56/xor1,10000,0,0
protocol/run-0/mc56/xor2,20000,0,0
protocol/run-0/mc57/xor1,10000,0,0
protocol/run-0/mc57/xor2,20000,0,0
protocol/run-0/mc58/xor1,10000,0,0
protocol/run-0/mc58/xor2,20000,0,0
protocol/run-0/mc59/xor1,10000,0,0
protocol/run-0/mc59/xor2,20000,0,0
protocol/run-0/mc6/xor1,10000,0,0
protocol/run-0/mc6/xor2,20000,0,0
protocol/run-0/mc60/xor1,10000,0,0
protocol/run-0/mc60/xor2,20000,0,0
protocol/run-0/mc61/xor1,10000,0,0
protocol/run-0/mc61/xor2,20000,0,0
protocol/run-0/mc62/xor1,10000,0,0
protocol/run-0/mc62/xor2,20000,0,0
protocol/run-0/mc63/xor1,10000,0,0
protocol/run-0/mc63/xor2,20000,0,0
protocol/run-0/mc7/xor1,10000,0,0
protocol/run-0/mc7/xor2,20000,0,0
protocol/run-0/mc8/xor1,10000,0,0
protocol/run-0/mc8/xor2,20000,0,0
protocol/run-0/mc9/xor1,10000,0,0
protocol/run-0/mc9/xor2,20000,0,0
protocol/run-0/sort0/bit_permute,30000,0,0
protocol/run-0/sort0/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort0/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort12/bit_permute,30000,0,0
protocol/run-0/sort12/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort12/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort12/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort12/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort12/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort12/multi_apply_inv12/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort12/multi_apply_inv12/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort12/multi_apply_inv12/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort12/multi_apply_inv13/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort12/multi_apply_inv13/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort12/multi_apply_inv13/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort12/multi_apply_inv14/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort12/multi_apply_inv14/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort12/multi_apply_inv14/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort12/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort12/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort12/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort12/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort15/bit_permute,30000,0,0
protocol/run-0/sort15/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort15/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort15/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort15/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort15/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort15/multi_apply_inv15/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort15/multi_apply_inv15/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort15/multi_apply_inv15/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort15/multi_apply_inv16/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort15/multi_apply_inv16/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort15/multi_apply_inv16/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort15/multi_apply_inv17/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort15/multi_apply_inv17/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort15/multi_apply_inv17/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort15/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort15/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort15/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort15/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort18/bit_permute,30000,0,0
protocol/run-0/sort18/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort18/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort18/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort18/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort18/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort18/multi_apply_inv18/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort18/multi_apply_inv18/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort18/multi_apply_inv18/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort18/multi_apply_inv19/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort18/multi_apply_inv19/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort18/multi_apply_inv19/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort18/multi_apply_inv20/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort18/multi_apply_inv20/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort18/multi_apply_inv20/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort18/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort18/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort18/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort18/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort21/bit_permute,30000,0,0
protocol/run-0/sort21/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort21/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort21/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort21/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort21/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort21/multi_apply_inv21/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort21/multi_apply_inv21/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort21/multi_apply_inv21/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort21/multi_apply_inv22/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort21/multi_apply_inv22/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort21/multi_apply_inv22/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort21/multi_apply_inv23/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort21/multi_apply_inv23/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort21/multi_apply_inv23/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort21/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort21/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort21/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort21/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort24/bit_permute,30000,0,0
protocol/run-0/sort24/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort24/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort24/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort24/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort24/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort24/multi_apply_inv24/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort24/multi_apply_inv24/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort24/multi_apply_inv24/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort24/multi_apply_inv25/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort24/multi_apply_inv25/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort24/multi_apply_inv25/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort24/multi_apply_inv26/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort24/multi_apply_inv26/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort24/multi_apply_inv26/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort27/bit_permute,30000,0,0
protocol/run-0/sort27/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort27/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort27/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort27/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort27/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort27/multi_apply_inv27/shuffle_inputs/shuffle1,20000,0,0
